City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,20,5.82,few clouds,0.0,0.0
1,Georgetown,MY,5.41,100.34,82.4,83,40,2.24,scattered clouds,0.0,0.0
2,Chhabra,IN,24.67,76.83,70.7,22,0,3.49,clear sky,0.0,0.0
3,Bethel,US,41.37,-73.41,36.0,74,1,4.05,clear sky,0.0,0.0
4,Albany,US,42.6,-73.97,32.0,100,20,3.36,fog,0.0,0.0
5,Kodiak,US,57.79,-152.41,32.0,90,1,11.41,clear sky,0.0,0.0
6,Fremont,US,37.55,-121.99,53.01,87,90,1.61,overcast clouds,0.0,0.0
7,Waipawa,NZ,-41.41,175.52,60.8,77,14,8.05,few clouds,0.0,0.0
8,Ushuaia,AR,-54.8,-68.3,51.8,62,40,3.36,scattered clouds,0.0,0.0
9,Saldanha,ZA,-33.01,17.94,77.0,27,0,20.8,clear sky,0.0,0.0
10,Mataura,NZ,-46.19,168.86,46.99,82,5,4.0,clear sky,0.0,0.0
11,Brits,ZA,-25.63,27.78,84.2,32,20,18.34,few clouds,0.0,0.0
12,Waingapu,ID,-9.66,120.26,81.01,67,100,2.91,overcast clouds,0.0,0.0
13,Sitka,US,57.05,-135.33,50.0,87,90,20.8,light rain,0.76,0.0
14,Hermanus,ZA,-34.42,19.23,69.01,53,0,5.99,clear sky,0.0,0.0
15,Ancud,CL,-41.87,-73.82,64.0,45,0,12.75,clear sky,0.0,0.0
16,Alice Springs,AU,-23.7,133.88,68.0,28,31,6.93,scattered clouds,0.0,0.0
17,Trincomalee,LK,8.57,81.23,82.6,73,95,9.64,overcast clouds,0.0,0.0
18,Avarua,CK,-21.21,-159.78,73.4,83,100,13.87,overcast clouds,0.0,0.0
19,Atuona,PF,-9.8,-139.03,78.1,76,23,18.79,few clouds,0.0,0.0
20,Longyearbyen,SJ,78.22,15.64,21.2,73,75,3.36,broken clouds,0.0,0.0
21,Vostok,RU,46.49,135.88,31.95,96,100,4.94,overcast clouds,0.0,0.0
22,Johi,PK,26.69,67.61,77.58,18,0,1.21,clear sky,0.0,0.0
23,Takoradi,GH,4.88,-1.76,82.81,76,25,8.48,light rain,0.31,0.0
24,Luderitz,NA,-26.65,15.16,72.52,41,17,28.79,few clouds,0.0,0.0
25,Vaini,TO,-21.2,-175.2,73.4,83,75,11.41,broken clouds,0.0,0.0
26,Flin Flon,CA,54.77,-101.86,17.6,85,90,16.11,light snow,0.0,0.0
27,Puerto Ayora,EC,-0.74,-90.35,71.01,90,100,7.0,overcast clouds,0.0,0.0
28,Arraial Do Cabo,BR,-22.97,-42.03,69.8,94,90,12.75,mist,0.0,0.0
29,Khatanga,RU,71.97,102.5,-6.93,87,96,6.51,overcast clouds,0.0,0.0
30,Lebu,CL,-37.62,-73.65,61.61,64,16,8.9,few clouds,0.0,0.0
31,Sorland,NO,67.67,12.69,48.06,78,0,22.15,clear sky,0.0,0.0
32,New Norfolk,AU,-42.78,147.06,54.0,67,72,1.99,broken clouds,0.0,0.0
33,Bluff,NZ,-46.6,168.33,46.99,82,53,4.0,broken clouds,0.0,0.0
34,Pangody,RU,65.85,74.49,32.41,98,100,13.62,light rain,0.39,0.0
35,Barbastro,ES,42.04,0.13,71.01,43,0,5.82,clear sky,0.0,0.0
36,Grindavik,IS,63.84,-22.43,44.6,81,40,12.75,shower rain,0.0,0.0
37,Porto Walter,BR,-8.27,-72.74,70.95,93,100,5.06,overcast clouds,0.0,0.0
38,Kieta,PG,-6.22,155.63,78.91,78,90,0.67,overcast clouds,0.0,0.0
39,Abeche,TD,13.83,20.83,98.6,15,0,6.93,clear sky,0.0,0.0
40,Rikitea,PF,-23.12,-134.97,74.82,71,12,7.49,few clouds,0.0,0.0
41,Inuvik,CA,68.35,-133.72,1.4,77,64,4.7,broken clouds,0.0,0.0
42,Kahului,US,20.89,-156.47,78.8,65,40,8.05,scattered clouds,0.0,0.0
43,Kaitangata,NZ,-46.28,169.85,46.99,78,3,5.01,clear sky,0.0,0.0
44,Hobart,AU,-42.88,147.33,54.0,81,90,4.7,overcast clouds,0.0,0.0
45,Hofn,IS,64.25,-15.21,43.14,78,100,10.13,overcast clouds,0.0,0.0
46,Margate,GB,51.38,1.39,57.99,91,89,7.0,heavy intensity rain,4.21,0.0
47,Ust-Kuyga,RU,70.02,135.6,-1.59,91,100,4.76,overcast clouds,0.0,0.0
48,Vestmanna,FO,62.16,-7.17,44.6,87,100,31.09,moderate rain,0.0,0.0
49,Port Alfred,ZA,-33.59,26.89,66.61,69,79,16.2,broken clouds,0.0,0.0
50,Hilo,US,19.73,-155.09,73.4,78,75,4.7,broken clouds,0.0,0.0
51,Talnakh,RU,69.49,88.4,17.6,85,75,35.79,light shower snow,0.0,0.0
52,Mahebourg,MU,-20.41,57.7,69.8,68,40,13.87,shower rain,0.0,0.0
53,Otjimbingwe,NA,-22.35,16.13,94.78,14,83,19.89,light rain,0.38,0.0
54,Fortuna,US,40.6,-124.16,42.8,93,1,11.41,clear sky,0.0,0.0
55,Kapaa,US,22.08,-159.32,69.8,88,1,8.05,clear sky,0.0,0.0
56,Butaritari,KI,3.07,172.79,81.03,75,60,17.25,broken clouds,0.0,0.0
57,Saint-Philippe,RE,-21.36,55.77,71.6,56,90,13.87,overcast clouds,0.0,0.0
58,Cayenne,GF,4.93,-52.33,89.6,59,100,11.41,overcast clouds,0.0,0.0
59,Dudinka,RU,69.41,86.18,17.6,85,75,35.79,light shower snow,0.0,0.0
60,Kavieng,PG,-2.57,150.8,83.1,75,95,9.33,overcast clouds,0.0,0.0
61,Lazaro Cardenas,MX,17.96,-102.2,78.76,73,91,4.05,overcast clouds,0.0,0.0
62,Jamestown,US,42.1,-79.24,37.0,80,90,4.7,overcast clouds,0.0,0.0
63,Nizwa,OM,22.93,57.53,72.97,23,7,4.9,clear sky,0.0,0.0
64,Nantucket,US,41.28,-70.1,46.4,45,1,9.17,clear sky,0.0,0.0
65,Victoria,HK,22.29,114.16,73.99,73,0,4.0,light rain,0.14,0.0
66,Ullapool,GB,57.9,-5.16,55.0,68,70,7.0,broken clouds,0.0,0.0
67,Souillac,MU,-20.52,57.52,69.8,68,40,13.87,shower rain,0.0,0.0
68,Salinas,US,36.68,-121.66,46.4,75,1,8.05,clear sky,0.0,0.0
69,Barrow,US,71.29,-156.79,19.4,85,90,4.7,overcast clouds,0.0,0.0
70,Port Elizabeth,ZA,-33.92,25.57,69.8,56,0,9.17,clear sky,0.0,0.0
71,Bredasdorp,ZA,-34.53,20.04,66.2,52,0,13.87,clear sky,0.0,0.0
72,Corinto,GR,37.94,22.96,69.01,40,0,1.01,clear sky,0.0,0.0
73,Faanui,PF,-16.48,-151.75,78.51,76,28,18.34,scattered clouds,0.0,0.0
74,Pevek,RU,69.7,170.31,12.97,97,100,10.13,overcast clouds,0.0,0.0
75,Koosa,EE,58.53,27.08,48.2,76,0,3.36,clear sky,0.0,0.0
76,Frankfort,ZA,-27.27,28.48,59.79,84,100,14.05,moderate rain,3.54,0.0
77,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,10.29,clear sky,0.0,0.0
78,Northam,GB,51.03,-4.22,53.01,84,100,18.99,overcast clouds,0.0,0.0
79,Kjollefjord,NO,70.95,27.35,31.66,93,72,11.18,broken clouds,0.0,0.0
80,Sucua,EC,-2.47,-78.17,71.6,78,75,4.29,broken clouds,0.0,0.0
81,Lamar,US,33.67,-95.58,48.99,93,1,5.82,clear sky,0.0,0.0
82,Saskylakh,RU,71.92,114.08,-3.95,83,1,5.61,clear sky,0.0,0.0
83,Guerrero Negro,MX,27.98,-114.06,67.84,62,5,1.21,clear sky,0.0,0.0
84,Bengkulu,ID,-3.8,102.27,77.65,85,100,3.2,moderate rain,2.05,0.0
85,Baykit,RU,61.67,96.37,1.47,89,4,2.13,clear sky,0.0,0.0
86,Tygda,RU,53.12,126.33,28.33,98,100,12.8,overcast clouds,0.0,0.0
87,Castro,BR,-24.79,-50.01,60.96,76,100,6.24,overcast clouds,0.0,0.0
88,Kaeo,NZ,-35.1,173.78,61.0,96,49,3.0,scattered clouds,0.0,0.0
89,Sao Filipe,CV,14.9,-24.5,82.2,59,78,18.12,broken clouds,0.0,0.0
90,Klyuchi,RU,52.27,79.17,34.25,88,57,5.3,broken clouds,0.0,0.0
91,Nikolskoye,RU,59.7,30.79,44.6,75,75,8.95,broken clouds,0.0,0.0
92,Vardo,NO,70.37,31.11,33.8,74,75,17.22,broken clouds,0.0,0.0
93,Buala,SB,-8.14,159.59,79.88,75,68,1.9,broken clouds,0.0,0.0
94,Cockburn Town,TC,21.46,-71.14,82.89,80,88,18.07,overcast clouds,0.0,0.0
95,Gulbene,LV,57.18,26.75,47.62,89,94,3.91,overcast clouds,0.0,0.0
96,Port Hardy,CA,50.7,-127.42,46.4,100,75,2.24,broken clouds,0.0,0.0
97,Berdsk,RU,54.76,83.1,33.8,87,90,8.95,overcast clouds,0.0,0.0
98,Busselton,AU,-33.65,115.33,64.0,64,100,11.36,light rain,0.3,0.0
99,Norman Wells,CA,65.28,-126.83,-2.2,84,20,4.7,few clouds,0.0,0.0
100,Berlevag,NO,70.86,29.09,30.7,94,80,17.18,broken clouds,0.0,0.0
101,Kaffrine,SN,14.11,-15.55,99.12,14,100,7.09,overcast clouds,0.0,0.0
102,Cidreira,BR,-30.18,-50.21,67.57,59,88,8.95,overcast clouds,0.0,0.0
103,Olean,US,42.08,-78.43,36.0,68,1,4.18,clear sky,0.0,0.0
104,Geraldton,AU,-28.77,114.6,68.0,77,75,12.75,broken clouds,0.0,0.0
105,Ahuimanu,US,21.44,-157.84,73.4,88,1,3.36,clear sky,0.0,0.0
106,Slobidka,UA,47.89,29.35,48.79,66,93,11.48,overcast clouds,0.0,0.0
107,Yellowknife,CA,62.46,-114.35,19.4,85,90,16.11,light snow,0.0,0.0
108,Airai,TL,-8.93,125.41,61.88,96,10,0.96,clear sky,0.0,0.0
109,Beloha,MG,-25.17,45.05,76.93,53,0,14.03,clear sky,0.0,0.0
110,Cody,US,44.53,-109.06,39.99,51,1,6.93,clear sky,0.0,0.0
111,Ponta Do Sol,PT,32.67,-17.1,75.99,78,20,12.75,few clouds,0.0,0.0
112,Tefe,BR,-3.35,-64.71,86.0,79,40,9.17,scattered clouds,0.0,0.0
113,Bagdarin,RU,54.43,113.6,20.03,92,100,3.78,light snow,0.0,0.11
114,Conceicao Da Barra,BR,-18.59,-39.73,75.9,86,100,4.94,moderate rain,3.158,0.0
115,Mantua,IT,45.17,10.78,64.0,72,92,3.36,overcast clouds,0.0,0.0
116,Bachaquero,VE,9.97,-71.15,82.78,82,96,12.55,overcast clouds,0.0,0.0
117,Chokurdakh,RU,70.63,147.92,1.72,94,99,7.16,overcast clouds,0.0,0.0
118,Nuevitas,CU,21.55,-77.26,80.6,83,75,11.41,broken clouds,0.0,0.0
119,Eureka,US,40.8,-124.16,42.8,100,1,2.37,clear sky,0.0,0.0
120,Upernavik,GL,72.79,-56.15,16.61,95,65,10.18,broken clouds,0.0,0.0
121,Hasaki,JP,35.73,140.83,50.0,76,20,5.82,few clouds,0.0,0.0
122,Ouro Preto Do Oeste,BR,-10.75,-62.22,77.22,70,100,6.82,light rain,0.749,0.0
123,Yeniseysk,RU,58.45,92.17,14.86,94,22,4.16,few clouds,0.0,0.0
124,Kruisfontein,ZA,-34.0,24.73,66.99,63,29,5.99,scattered clouds,0.0,0.0
125,Skjervoy,NO,70.03,20.97,42.89,67,100,13.06,overcast clouds,0.0,0.0
126,Adrar,MR,20.5,-10.07,93.52,11,96,10.87,overcast clouds,0.0,0.0
127,Kalianget,ID,-7.05,113.93,78.3,86,100,9.4,moderate rain,1.8452,0.0
128,Nortelandia,BR,-14.45,-56.8,86.38,49,83,6.42,broken clouds,0.0,0.0
129,Zirgan,RU,53.22,55.92,43.12,64,100,6.8,light rain,0.367,0.0
130,Tombouctou,ML,20.0,-3.0,93.43,10,100,3.36,overcast clouds,0.0,0.0
131,Sola,VU,-13.88,167.55,80.74,81,43,20.27,scattered clouds,0.0,0.0
132,Nouadhibou,MR,20.93,-17.03,77.0,65,0,13.87,clear sky,0.0,0.0
133,Tigil,RU,57.8,158.67,31.73,89,100,5.86,overcast clouds,0.0,0.0
134,Evensk,RU,61.95,159.23,21.92,91,75,8.61,broken clouds,0.0,0.0
135,Saint Anthony,US,45.02,-93.22,43.0,65,1,12.75,clear sky,0.0,0.0
136,Tuatapere,NZ,-46.13,167.68,46.99,82,3,4.0,clear sky,0.0,0.0
137,Lasa,IT,46.62,10.7,61.0,36,0,4.7,clear sky,0.0,0.0
138,Livingston,GB,55.9,-3.52,55.4,71,75,32.21,broken clouds,0.0,0.0
139,Vila,PT,42.03,-8.16,62.01,90,100,5.99,overcast clouds,0.0,0.0
140,Cabo San Lucas,MX,22.89,-109.91,68.0,77,20,4.7,few clouds,0.0,0.0
141,Cacapava Do Sul,BR,-30.51,-53.49,66.83,58,15,8.03,few clouds,0.0,0.0
142,Hithadhoo,MV,-0.6,73.08,83.66,72,100,8.14,light rain,0.23,0.0
143,Cherskiy,RU,68.75,161.3,7.38,87,100,4.09,overcast clouds,0.0,0.0
144,Tiznit,MA,29.58,-9.5,81.57,16,0,13.04,clear sky,0.0,0.0
145,Ventersburg,ZA,-28.09,27.14,62.22,79,97,17.94,light rain,0.26,0.0
146,Iqaluit,CA,63.75,-68.51,21.2,79,90,6.93,light snow,0.0,0.0
147,Amuntai,ID,-2.42,115.25,75.49,93,100,2.95,overcast clouds,0.0,0.0
148,Richards Bay,ZA,-28.78,32.04,67.98,75,100,9.62,overcast clouds,0.0,0.0
149,Itatiaia,BR,-22.5,-44.56,67.41,83,100,2.89,overcast clouds,0.0,0.0
150,Chuy,UY,-33.7,-53.46,63.41,65,42,7.43,scattered clouds,0.0,0.0
151,Beni,CD,0.5,29.47,69.67,99,40,2.71,light rain,0.77,0.0
152,Ampanihy,MG,-24.7,44.75,86.43,27,0,12.28,clear sky,0.0,0.0
153,Hvide Sande,DK,56.0,8.13,55.0,76,67,3.0,broken clouds,0.0,0.0
154,Urumqi,CN,43.8,87.6,42.8,48,0,2.24,clear sky,0.0,0.0
155,Arona,ES,28.1,-16.68,86.0,35,0,16.11,clear sky,0.0,0.0
156,Rockhampton,AU,-23.38,150.5,73.4,83,0,4.7,clear sky,0.0,0.0
157,Hay River,CA,60.82,-115.8,19.4,92,27,9.17,scattered clouds,0.0,0.0
158,Tasiilaq,GL,65.61,-37.64,32.0,92,90,3.36,overcast clouds,0.0,0.0
159,Mojokerto,ID,-7.47,112.43,74.19,91,100,2.51,overcast clouds,0.0,0.0
160,Pacific Grove,US,36.62,-121.92,46.4,87,1,4.7,clear sky,0.0,0.0
161,Igdir,TR,39.92,44.05,66.2,37,75,2.24,broken clouds,0.0,0.0
162,High Level,CA,58.52,-117.14,17.6,100,20,4.7,few clouds,0.0,0.0
163,Tautira,PF,-17.73,-149.15,73.4,83,20,2.24,few clouds,0.0,0.0
164,Monticello,US,45.31,-93.79,43.0,81,1,20.09,clear sky,0.0,0.0
165,Cape Town,ZA,-33.93,18.42,69.8,49,0,26.4,clear sky,0.0,0.0
166,Bella Vista,US,36.43,-94.23,52.0,87,1,5.82,clear sky,0.0,0.0
167,Itoigawa,JP,37.03,137.85,48.0,73,61,7.29,broken clouds,0.0,0.0
168,Saint George,US,37.1,-113.58,42.8,35,1,2.04,clear sky,0.0,0.0
169,Bafoulabe,ML,13.81,-10.83,100.06,15,72,7.16,broken clouds,0.0,0.0
170,Ola,RU,59.58,151.28,33.01,95,100,13.78,overcast clouds,0.0,0.0
171,Zelenoborskiy,RU,66.84,32.36,32.22,90,81,7.07,broken clouds,0.0,0.0
172,Chake Chake,TZ,-5.25,39.77,79.16,77,2,11.16,clear sky,0.0,0.0
173,Saraland,US,30.82,-88.07,55.4,76,1,8.05,clear sky,0.0,0.0
174,Angoche,MZ,-16.23,39.91,80.56,68,0,9.22,clear sky,0.0,0.0
175,Kermanshah,IR,34.31,47.06,68.0,3,0,6.93,clear sky,0.0,0.0
176,Port Pirie,AU,-33.18,138.02,57.2,82,0,9.17,clear sky,0.0,0.0
177,Thinadhoo,MV,0.53,72.93,83.37,74,74,9.33,broken clouds,0.0,0.0
178,Nampula,MZ,-15.12,39.27,89.01,45,75,13.87,broken clouds,0.0,0.0
179,Lagoa,PT,39.05,-27.98,68.67,92,98,27.6,overcast clouds,0.0,0.0
180,Balagansk,RU,54.01,103.05,19.62,87,11,11.92,few clouds,0.0,0.0
181,Iracoubo,GF,5.48,-53.2,86.04,69,99,11.59,overcast clouds,0.0,0.0
182,Faya,SA,18.39,42.45,71.6,60,40,11.41,scattered clouds,0.0,0.0
183,Lima,PE,-12.04,-77.03,64.99,77,90,9.17,overcast clouds,0.0,0.0
184,Nanortalik,GL,60.14,-45.24,29.66,90,16,13.4,few clouds,0.0,0.0
185,Komsomolskiy,UZ,40.43,71.72,46.4,26,0,2.24,clear sky,0.0,0.0
186,Malakal,SS,9.53,31.66,86.94,51,24,4.18,few clouds,0.0,0.0
187,Pryazha,RU,61.69,33.62,33.8,86,75,6.71,broken clouds,0.0,0.0
188,Bilma,NE,18.69,12.92,87.4,13,0,6.15,clear sky,0.0,0.0
189,East London,ZA,-33.02,27.91,68.0,64,20,13.87,few clouds,0.0,0.0
190,Bambous Virieux,MU,-20.34,57.76,69.8,68,40,13.87,shower rain,0.0,0.0
191,Ribeira Grande,PT,38.52,-28.7,71.6,88,75,20.8,broken clouds,0.0,0.0
192,Puerto Asis,CO,0.51,-76.5,82.4,78,0,2.24,clear sky,0.0,0.0
193,Fougeres,FR,48.35,-1.2,59.0,100,90,16.11,mist,0.0,0.0
194,Kaduy,RU,59.2,37.15,39.2,80,90,4.47,overcast clouds,0.0,0.0
195,Te Anau,NZ,-45.42,167.72,43.93,83,41,5.57,scattered clouds,0.0,0.0
196,Lucapa,AO,-8.42,20.74,82.24,64,87,3.47,overcast clouds,0.0,0.0
197,Haines Junction,CA,60.75,-137.51,14.0,85,100,1.12,snow,0.0,0.73
198,Fort Nelson,CA,58.81,-122.7,15.8,92,75,2.24,broken clouds,0.0,0.0
199,Atkarsk,RU,51.87,45.01,45.63,87,61,6.58,broken clouds,0.0,0.0
200,Dikson,RU,73.51,80.55,15.98,96,100,18.54,overcast clouds,0.0,0.0
201,Amapa,BR,1.0,-52.0,97.25,29,0,6.64,clear sky,0.0,0.0
202,Saint-Pierre,RE,-21.34,55.48,71.6,56,90,13.87,overcast clouds,0.0,0.0
203,Nome,US,64.5,-165.41,12.2,85,1,9.01,clear sky,0.0,0.0
204,Ekibastuz,KZ,51.67,75.37,38.44,76,0,5.68,clear sky,0.0,0.0
205,Qaanaaq,GL,77.48,-69.36,12.97,87,99,7.18,overcast clouds,0.0,0.0
206,Itoman,JP,26.12,127.67,73.4,69,40,10.29,scattered clouds,0.0,0.0
207,Beringovskiy,RU,63.05,179.32,19.62,91,100,10.69,overcast clouds,0.0,0.0
208,Marsh Harbour,BS,26.54,-77.06,79.79,83,13,18.68,few clouds,0.0,0.0
209,Guiratinga,BR,-16.35,-53.76,84.0,68,100,0.85,moderate rain,1.73,0.0
210,Karoi,ZW,-16.81,29.69,86.29,18,0,9.42,clear sky,0.0,0.0
211,Mendeleyevo,RU,56.03,37.22,44.6,87,90,6.71,overcast clouds,0.0,0.0
212,Paamiut,GL,61.99,-49.67,27.72,88,84,19.51,broken clouds,0.0,0.0
213,Grand Gaube,MU,-20.01,57.66,69.01,65,0,3.0,clear sky,0.0,0.0
214,Nuevo Progreso,MX,23.17,-97.95,66.0,69,0,1.99,clear sky,0.0,0.0
215,Hamilton,US,39.18,-84.53,44.01,69,20,10.29,few clouds,0.0,0.0
216,Namibe,AO,-15.2,12.15,75.6,74,17,11.61,few clouds,0.0,0.0
217,Albury,AU,-36.08,146.92,55.4,100,0,3.36,clear sky,0.0,0.0
218,Azuaga,ES,38.27,-5.68,77.0,35,0,5.99,clear sky,0.0,0.0
219,Clinton,US,42.59,-82.92,39.99,74,75,9.6,broken clouds,0.0,0.0
220,El Campo,US,29.2,-96.27,59.0,93,1,3.89,clear sky,0.0,0.0
221,Ketchikan,US,55.34,-131.65,46.4,93,90,17.22,light rain,0.0,0.0
222,Virginia Beach,US,36.85,-75.98,57.2,58,75,12.75,broken clouds,0.0,0.0
223,Carnarvon,AU,-24.87,113.63,69.8,83,90,9.17,overcast clouds,0.0,0.0
224,Aklavik,CA,68.22,-135.01,-2.2,77,75,5.82,broken clouds,0.0,0.0
225,Yaring,TH,6.87,101.37,80.24,79,91,2.66,overcast clouds,0.0,0.0
226,Provideniya,RU,64.38,-173.3,20.91,87,89,5.84,overcast clouds,0.0,0.0
227,Tiksi,RU,71.69,128.87,1.44,94,59,3.11,broken clouds,0.0,0.0
228,Zhigansk,RU,66.77,123.37,-11.76,89,79,0.2,broken clouds,0.0,0.0
229,Verkhnevilyuysk,RU,63.45,120.32,-6.32,91,24,2.98,few clouds,0.0,0.0
230,Morros,BR,-9.45,-46.3,87.15,57,47,2.84,moderate rain,1.22,0.0
231,Lagunas,PE,-5.23,-75.68,85.8,59,87,7.34,overcast clouds,0.0,0.0
232,Kloulklubed,PW,7.04,134.26,82.4,78,75,8.05,broken clouds,0.0,0.0
233,Lata,PT,40.16,-8.33,75.0,59,35,5.73,scattered clouds,0.0,0.0
234,Torbay,CA,47.67,-52.73,37.99,69,90,21.92,light shower snow,0.0,0.0
235,Husavik,IS,66.04,-17.34,44.6,65,20,11.41,few clouds,0.0,0.0
236,Businga,CD,3.33,20.88,83.84,71,47,0.63,light rain,0.39,0.0
237,Arlit,NE,18.74,7.39,92.44,11,0,20.38,clear sky,0.0,0.0
238,Coquimbo,CL,-29.95,-71.34,53.6,87,90,8.05,overcast clouds,0.0,0.0
239,Skegness,GB,53.14,0.34,59.0,87,90,24.16,overcast clouds,0.0,0.0
240,Nyrob,RU,60.73,56.72,32.95,97,100,3.96,overcast clouds,0.0,0.0
241,Ahipara,NZ,-35.17,173.17,62.53,95,37,5.12,scattered clouds,0.0,0.0
242,Abu Dhabi,AE,24.47,54.37,86.0,58,0,11.41,clear sky,0.0,0.0
243,Acapulco,MX,16.86,-99.89,78.8,83,40,1.59,scattered clouds,0.0,0.0
244,Bassila,BJ,9.01,1.67,92.35,31,23,4.16,few clouds,0.0,0.0
245,Atlantic Beach,US,30.33,-81.4,77.0,78,20,21.92,few clouds,0.0,0.0
246,Ossora,RU,59.24,163.07,32.29,96,100,1.68,overcast clouds,0.0,0.0
247,Deputatskiy,RU,69.3,139.9,-6.27,92,100,4.68,overcast clouds,0.0,0.0
248,Tabas,IR,33.6,56.92,75.2,15,0,2.24,clear sky,0.0,0.0
249,Madimba,TZ,-10.4,40.33,77.0,83,75,6.93,moderate rain,0.0,0.0
250,Russell,US,32.35,-85.2,55.99,62,75,8.05,broken clouds,0.0,0.0
251,Gao,ML,16.64,1.64,95.4,9,0,13.89,clear sky,0.0,0.0
252,Constitucion,CL,-35.33,-72.42,66.24,59,0,3.42,clear sky,0.0,0.0
253,Taybad,IR,34.74,60.78,47.1,53,0,1.74,clear sky,0.0,0.0
254,Turukhansk,RU,65.82,87.98,14.2,96,100,18.95,light snow,0.0,0.32
255,Ixtapa,MX,20.7,-105.2,79.0,88,5,5.82,clear sky,0.0,0.0
256,Kendari,ID,-3.94,122.5,76.37,90,96,3.76,heavy intensity rain,5.615,0.0
257,Tabou,CI,4.42,-7.35,81.84,76,79,8.23,broken clouds,0.0,0.0
258,Maromitsa,RU,59.87,48.01,30.63,97,75,8.32,broken clouds,0.0,0.0
259,Hobyo,SO,5.35,48.53,82.58,72,99,8.77,light rain,0.75,0.0
260,Lorengau,PG,-2.02,147.27,80.91,75,26,4.12,scattered clouds,0.0,0.0
261,Aitape,PG,-3.14,142.35,78.49,82,21,4.94,light rain,0.28,0.0
262,Esperance,AU,-33.87,121.9,71.6,60,40,10.29,scattered clouds,0.0,0.0
263,Ramona,US,33.04,-116.87,48.2,28,1,3.36,clear sky,0.0,0.0
264,Uray,RU,60.12,64.78,36.16,92,90,9.37,overcast clouds,0.0,0.0
265,Shintomi,JP,32.08,131.47,60.1,72,99,6.6,overcast clouds,0.0,0.0
266,Togul,RU,53.47,85.91,33.13,96,100,7.38,overcast clouds,0.0,0.0
267,Vallenar,CL,-28.57,-70.76,78.55,28,0,8.05,clear sky,0.0,0.0
268,Fairbanks,US,64.84,-147.72,10.4,85,90,2.19,mist,0.0,0.0
269,Edeia,BR,-17.34,-49.93,85.24,53,40,6.13,light rain,0.49,0.0
270,Thompson,CA,55.74,-97.86,14.0,85,90,17.22,light snow,0.0,0.0
271,College,US,64.86,-147.8,10.4,77,90,2.19,light snow,0.0,0.0
272,Barinitas,VE,8.76,-70.41,78.26,80,93,3.71,overcast clouds,0.0,0.0
273,Oriximina,BR,-1.77,-55.87,91.08,48,20,5.5,few clouds,0.0,0.0
274,Nemuro,JP,43.32,145.57,46.76,67,55,6.46,broken clouds,0.0,0.0
275,Celestun,MX,20.87,-90.4,78.04,79,95,10.4,overcast clouds,0.0,0.0
276,Lovozero,RU,68.0,35.01,22.62,92,0,2.82,clear sky,0.0,0.0
277,San Patricio,US,28.02,-97.52,57.99,82,20,6.93,few clouds,0.0,0.0
278,Khandagayty,RU,50.73,92.05,26.19,90,52,5.99,broken clouds,0.0,0.0
